steamId,name,developers,publishers,publisherClass,languages,releaseDate,genres,price,revenue,reviews,reviewScore,language count
312200,Chasm,"Bit Kid, Inc.","Bit Kid, Inc.",,"English,French,Italian,German,Portuguese - Brazil,Spanish - Latin America,Hungarian",1532923200000,"Action,Adventure,Indie,RPG",19.99,1107756,2221,73,7
504230,Celeste,"Maddy Makes Games Inc.,Extremely OK Games, Ltd.",Maddy Makes Games Inc.,,"English,French,Italian,German,Spanish - Spain,Japanese,Portuguese - Brazil,Russian,Simplified Chinese",1516856400000,"Action,Adventure,Indie",19.99,17990584,82304,98,9
393520,Iconoclasts,Joakim Sandberg,"Bifrost Entertainment,DANGEN Entertainment,Gamera Games,INTRAGAMES CO., LTD.",,"English,French,German,Spanish - Spain,Japanese,Simplified Chinese,Traditional Chinese,Korean",1516683600000,"Action,Adventure,Indie",19.99,1741345,4150,87,8
774361,Blasphemous,The Game Kitchen,Team17,,"English,French,Italian,German,Spanish - Spain,Simplified Chinese,Portuguese - Brazil,Russian,Japanese,Korean",1568088000000,"Action,Adventure,Indie",24.99,15950978,34893,90,10
431940,Wildfire,Sneaky Bastards,Humble Games,,"English,French,German,Japanese,Korean,Russian,Simplified Chinese,Spanish - Latin America",1590379200000,Indie,14.99,355301,756,83,8
1147560,Skul: The Hero Slayer,SOUTHPAW GAMES,NEOWIZ,,"English,Japanese,Korean,Simplified Chinese,German,French,Spanish - Spain,Russian,Traditional Chinese,Portuguese - Brazil,Polish",1611118800000,"Action,Indie",19.99,17348181,43681,93,11
737520,Flynn: Son of Crimson,Studio Thunderhorse,Humble Games,,"English,Japanese,Korean,Simplified Chinese,French,German,Russian,Spanish - Latin America",1631678400000,"Action,Adventure,Indie",19.99,137912,452,84,8
1173200,Metal Unit,JellySnow Studio,NEOWIZ,,"English,Korean,Japanese,Simplified Chinese,Traditional Chinese,German,Russian,French,Spanish - Spain,Spanish - Latin America",1611723600000,"Action,Adventure,Indie,RPG",14.99,889150,2384,84,10
1419160,Souldiers,Retro Forge,Dear Villagers,,"English,French,German,Spanish - Spain,Simplified Chinese,Russian,Portuguese - Brazil",1654142400000,"Action,Adventure",19.99,518781,1761,67,7
1175460,Revita,BenStar,"Dear Villagers,Doyoyo Games",,"English,French,German,Spanish - Spain,Simplified Chinese,Spanish - Latin America,Portuguese - Brazil",1648785600000,"Action,Adventure,Indie,RPG",16.99,606385,1826,83,7
2231450,Pizza Tower,Tour De Pizza,Tour De Pizza,,English,1674709200000,"Action,Indie",19.99,14061841,50632,99,1
1244090,Sea of Stars,Sabotage Studio,Sabotage Studio,,"English,French,German,Spanish - Spain,Japanese,Korean,Portuguese - Brazil,Russian,Simplified Chinese,Traditional Chinese",1693195200000,"Adventure,Indie,RPG",34.99,7159789,7223,90,10
1747760,Momodora: Moonlit Farewell,Bombservice,PLAYISM,,"English,Simplified Chinese,Japanese,French,Italian,German,Spanish - Spain,Ukrainian,Portuguese - Brazil,Russian,Traditional Chinese,Korean",1704949200000,"Action,Adventure,Indie",16.99,763732,1604,93,12
1231990,Gestalt: Steam & Cinder,Metamorphosis Games,Fireshine Games,,"English,French,German,Spanish - Spain,Portuguese - Brazil,Simplified Chinese,Traditional Chinese,Russian,Japanese",1704085200000,"Action,Adventure,Indie,RPG",0,0,0,0,9
881100,Noita,Nolla Games,Nolla Games,,"English,French,German,Spanish - Spain,Japanese,Korean,Portuguese - Brazil,Russian,Simplified Chinese,Italian,Polish",1602734400000,"Action,Adventure,Indie,RPG,Simulation",19.99,30489769,57646,95,11
460950,Katana ZERO,Askiisoft,Devolver Digital,,"English,French,German,Spanish - Spain,Japanese,Korean,Portuguese - Brazil,Russian,Simplified Chinese,Traditional Chinese",1555560000000,"Action,Indie",14.99,12090669,59231,98,10
1150690,OMORI,"OMOCAT, LLC","OMOCAT, LLC",,"English,Japanese,Simplified Chinese,Korean",1608872400000,"Adventure,Indie,RPG",19.99,12073683,60371,98,4
1061090,Jump King,Nexile,Nexile,,"English,Simplified Chinese,French,German,Spanish - Spain,Portuguese - Brazil,Russian,Spanish - Latin America,Japanese,Traditional Chinese",1556856000000,"Action,Adventure,Indie",12.99,4171629,10157,90,10
814370,Monster Sanctuary,moi rai games,Team17,,"English,French,German,Spanish - Spain,Russian,Italian,Simplified Chinese,Japanese,Portuguese - Brazil",1607403600000,"Action,Adventure,Indie,RPG,Strategy",19.99,4387947,8874,92,9
851100,Touhou Luna Nights,"Team Ladybug,WSS playground","WSS playground,PLAYISM",,"English,Simplified Chinese,Japanese,Korean,French,German",1551070800000,"Action,Adventure,Indie",17.99,3538804,12406,98,6
1274600,The Last Faith,Kumi Souls Games,Playstack,,"English,French,Italian,German,Spanish - Spain,Japanese,Portuguese - Brazil,Russian,Simplified Chinese,Polish,Spanish - Latin America,Traditional Chinese,Korean",1700024400000,"Action,Adventure,Indie",27.99,1244713,2174,82,13
946030,Axiom Verge 2,Thomas Happ Games LLC,Thomas Happ Games LLC,,"English,French,Italian,German,Japanese,Portuguese - Brazil,Russian,Simplified Chinese,Spanish - Latin America",1660190400000,"Action,Adventure,Indie",19.99,237627,422,83,9
274190,Broforce,Free Lives,Devolver Digital,,"English,French,Italian,German,Spanish - Spain,Japanese,Korean,Portuguese - Brazil,Simplified Chinese",1444881600000,"Action,Adventure,Casual,Indie",14.99,14425283,53850,97,9
1062110,UNSIGHTED,Studio Pixel Punk,Humble Games,,"English,Portuguese - Brazil,French,German,Japanese,Korean,Simplified Chinese,Spanish - Latin America",1632974400000,"Action,Adventure,Indie,RPG",19.99,499690,1322,95,8
588650,Dead Cells,Motion Twin,Motion Twin,,"English,French,Simplified Chinese,Italian,German,Spanish - Spain,Japanese,Portuguese - Portugal,Russian,Turkish,Korean,Traditional Chinese,Portuguese - Brazil",1533528000000,"Action,Adventure,Indie",24.99,60403515,137122,97,13
115800,Owlboy,D-Pad Studio,D-Pad Studio,,"English,Japanese,French,Italian,German,Spanish - Spain,Korean,Polish,Portuguese - Brazil,Russian,Simplified Chinese,Traditional Chinese,Norwegian",1477972800000,"Action,Adventure,Indie",19.99,4687362,5489,84,13
